id,probe,date,value
,CC3-TP01,2021-10-14 19:37:58,5.74
,CC4-HP01,2021-10-14 05:19:17,4.65
,CC-HP01,2021-10-16 10:33:25,5.66
,CC3-TP01,2021-10-16 05:52:12,5.84
,CC5-HP01,2021-10-17 05:34:59,5.55
,CC3-TP01,2021-10-17 12:49:43,4.67
,CC5-HP01,2021-10-13 23:47:10,5.72
,CC5-TP01,2021-10-19 21:15:59,5.8
,CC-TP01,2021-10-17 11:50:09,4.94
,CC6-HP01,2021-10-14 04:38:18,5.84
,CC7-TP01,2021-10-16 08:33:27,5.27
,CC3-HP01,2021-10-17 09:02:26,5.47
,CC7-TP01,2021-10-19 09:47:42,4.04
,CC4-TP01,2021-10-18 16:27:54,4.76
,CC6-HP01,2021-10-17 06:18:08,4.91
,CC5-HP01,2021-10-13 12:08:41,5.88
,CC7-HP01,2021-10-13 11:32:04,5.54
,CC7-TP01,2021-10-16 22:46:36,5.35
,CC6-HP01,2021-10-13 12:15:56,5.59
,CC-TP01,2021-10-15 14:32:57,4.16
,CC2-TP01,2021-10-19 15:00:23,5.13
,CC-HP01,2021-10-14 01:07:57,5.22
,CC5-TP01,2021-10-17 02:34:54,4.13
,CC2-HP01,2021-10-17 19:55:25,4.98
,CC5-HP01,2021-10-19 15:11:44,5.13
,CC2-HP01,2021-10-17 00:13:55,5.07
,CC3-HP01,2021-10-16 16:13:25,4.22
,CC7-TP01,2021-10-19 10:19:15,4.86
,CC7-TP01,2021-10-12 14:49:19,5.85
,CC6-TP01,2021-10-13 23:54:00,4.42
,CC6-TP01,2021-10-16 09:49:50,4.68
,CC7-TP01,2021-10-17 22:02:06,4.07
,CC2-HP01,2021-10-17 13:23:51,4.15
,CC7-TP01,2021-10-19 01:31:06,5.94
,CC-TP01,2021-10-18 04:07:13,5.29
,CC6-HP01,2021-10-14 16:52:31,5.74
,CC-TP01,2021-10-19 14:24:28,5.38
,CC4-HP01,2021-10-12 09:05:04,5.9
,CC6-TP01,2021-10-18 00:06:33,5.39
,CC7-TP01,2021-10-18 04:37:03,5.45
,CC4-TP01,2021-10-15 23:38:25,4.81
,CC4-HP01,2021-10-19 10:29:46,4.33
,CC3-HP01,2021-10-18 03:51:39,5.45
,CC5-HP01,2021-10-15 17:14:52,4.71
,CC6-HP01,2021-10-12 16:46:04,4.49
,CC-HP01,2021-10-14 05:25:22,4.66
,CC-TP01,2021-10-17 18:08:32,5.72
,CC3-HP01,2021-10-19 05:44:22,4.81
,CC4-TP01,2021-10-16 08:40:19,5.53
,CC4-HP01,2021-10-12 13:52:51,4.07
,CC4-HP01,2021-10-13 09:06:26,5.88
,CC3-TP01,2021-10-19 16:51:48,4.53
,CC6-HP01,2021-10-14 04:04:18,5.49
,CC3-HP01,2021-10-15 18:51:23,4.44
,CC5-HP01,2021-10-12 21:18:47,5.47
,CC2-TP01,2021-10-13 02:51:21,4.78
,CC-TP01,2021-10-13 14:11:25,4.46
,CC2-TP01,2021-10-17 08:11:09,5.02
,CC3-HP01,2021-10-19 13:06:53,5.56
,CC3-HP01,2021-10-18 00:12:41,4.6
,CC4-TP01,2021-10-12 21:56:13,5.45
,CC-HP01,2021-10-17 00:26:43,4.51
,CC7-TP01,2021-10-16 15:08:20,5.28
,CC-TP01,2021-10-13 16:42:15,5.77
,CC7-HP01,2021-10-18 13:41:23,4.42
,CC5-HP01,2021-10-12 13:34:18,5.15
,CC-HP01,2021-10-13 03:28:17,4.5
,CC3-HP01,2021-10-15 16:32:14,4.72
,CC4-TP01,2021-10-12 13:07:51,5.29
,CC4-HP01,2021-10-12 01:31:01,4.82
,CC3-TP01,2021-10-15 08:14:39,5.22
,CC2-TP01,2021-10-18 21:32:40,5.95
,CC4-TP01,2021-10-16 09:54:30,5.81
,CC4-TP01,2021-10-16 21:59:04,5.8
,CC6-HP01,2021-10-16 17:31:43,5.45
,CC6-HP01,2021-10-14 04:03:32,4.52
,CC-HP01,2021-10-19 20:59:08,4.14
,CC-HP01,2021-10-14 14:36:43,4.74
,CC6-TP01,2021-10-16 12:07:07,5.32
,CC6-HP01,2021-10-13 02:45:01,4.91
,CC2-TP01,2021-10-13 18:34:06,4.47
,CC-HP01,2021-10-13 12:21:44,4.53
,CC2-TP01,2021-10-18 03:53:18,4.81
,CC6-HP01,2021-10-19 20:45:10,4.9
,CC6-TP01,2021-10-15 02:04:47,4.58
,CC7-HP01,2021-10-14 14:05:57,4.34
,CC5-HP01,2021-10-12 20:09:05,4.98
,CC7-TP01,2021-10-19 17:30:41,5.47
,CC5-TP01,2021-10-12 18:55:59,4.13
,CC5-TP01,2021-10-13 10:14:45,5.67
,CC7-HP01,2021-10-14 14:22:39,5.49
,CC6-HP01,2021-10-13 12:20:41,4.99
,CC3-HP01,2021-10-18 02:53:13,5.84
,CC7-HP01,2021-10-12 09:26:44,5.36
,CC3-HP01,2021-10-15 05:35:14,4.53
,CC7-HP01,2021-10-14 18:42:25,5.03
,CC2-HP01,2021-10-19 11:30:25,5.25
,CC5-TP01,2021-10-19 00:28:12,5.79
,CC7-TP01,2021-10-16 05:23:44,4.13
,CC5-TP01,2021-10-19 01:36:22,5.82
,CC5-TP01,2021-10-19 16:56:30,4.71
,CC4-TP01,2021-10-12 15:50:45,5.35
,CC2-TP01,2021-10-15 18:48:37,4.4
,CC4-HP01,2021-10-17 10:26:31,5.81
,CC7-HP01,2021-10-12 03:54:23,4.95
,CC7-HP01,2021-10-18 15:51:53,4.83
,CC3-TP01,2021-10-17 04:10:50,4.43
,CC7-HP01,2021-10-18 14:22:44,4.64
,CC4-HP01,2021-10-15 05:44:02,4.54
,CC4-HP01,2021-10-12 18:08:45,4.87
,CC6-HP01,2021-10-12 15:55:38,4.9
,CC7-HP01,2021-10-17 04:54:05,4.91
,CC2-HP01,2021-10-12 12:34:36,5.83
,CC4-HP01,2021-10-12 03:19:57,5.74
,CC4-TP01,2021-10-18 12:10:29,5.37
,CC2-TP01,2021-10-17 02:40:56,5.49
,CC7-TP01,2021-10-13 14:31:12,4.3
,CC6-TP01,2021-10-18 16:00:47,5.41
,CC3-HP01,2021-10-14 23:39:28,4.41
,CC5-HP01,2021-10-19 08:50:14,4.13
,CC3-HP01,2021-10-12 18:03:24,4.03
,CC4-HP01,2021-10-18 06:27:38,4.96
,CC6-TP01,2021-10-12 19:17:33,5.09
,CC2-HP01,2021-10-17 09:14:01,5.39
,CC3-HP01,2021-10-17 16:58:17,4.14
,CC-HP01,2021-10-13 17:15:13,4.18
,CC2-HP01,2021-10-13 08:22:28,4.44
,CC4-HP01,2021-10-19 22:58:33,4.34
,CC3-HP01,2021-10-14 16:15:51,4.43
,CC6-HP01,2021-10-13 14:21:24,4.68
,CC5-HP01,2021-10-17 12:00:12,4.34
,CC7-HP01,2021-10-17 08:24:50,4.2
,CC6-HP01,2021-10-18 16:42:31,5.08
,CC2-HP01,2021-10-16 16:48:57,4.44
,CC3-TP01,2021-10-16 21:49:10,4.37
,CC4-HP01,2021-10-15 14:22:00,4.64
,CC3-TP01,2021-10-15 14:15:13,5.45
,CC7-TP01,2021-10-19 19:40:37,4.58
,CC4-TP01,2021-10-19 01:48:14,5.1
,CC-HP01,2021-10-12 04:33:31,5.48
,CC5-HP01,2021-10-18 03:40:59,4.89
,CC4-TP01,2021-10-14 21:03:45,4.82
,CC2-TP01,2021-10-15 19:42:16,4.88
,CC6-HP01,2021-10-18 10:04:00,5.98
,CC2-HP01,2021-10-13 02:17:53,4.87
,CC5-HP01,2021-10-18 07:19:31,5.88
,CC6-HP01,2021-10-12 03:13:29,4.21
,CC6-TP01,2021-10-14 06:50:44,5.77
,CC6-HP01,2021-10-13 19:47:25,6.0
,CC7-TP01,2021-10-15 09:07:30,4.81
,CC3-HP01,2021-10-12 14:34:19,4.34
,CC3-HP01,2021-10-17 21:09:22,5.84
,CC5-TP01,2021-10-13 19:09:36,5.24
,CC4-TP01,2021-10-19 00:18:45,5.82
,CC4-HP01,2021-10-17 10:16:17,5.77
,CC2-TP01,2021-10-14 01:47:26,5.59
,CC6-HP01,2021-10-14 02:10:18,4.3
,CC5-HP01,2021-10-15 22:09:05,5.6
,CC3-HP01,2021-10-12 07:57:36,5.57
,CC4-HP01,2021-10-16 13:39:51,5.63
,CC4-TP01,2021-10-12 19:55:52,4.28
,CC5-TP01,2021-10-18 01:07:36,4.73
,CC4-HP01,2021-10-13 17:29:31,4.74
,CC6-TP01,2021-10-13 16:35:40,4.23
,CC6-TP01,2021-10-13 18:00:20,5.06
,CC4-HP01,2021-10-16 10:46:28,4.06
,CC7-TP01,2021-10-17 08:20:23,5.88
,CC5-TP01,2021-10-19 14:16:26,5.89
,CC4-HP01,2021-10-15 13:06:22,4.36
,CC2-TP01,2021-10-12 16:27:38,5.46
,CC4-TP01,2021-10-14 14:58:27,5.7
,CC2-HP01,2021-10-16 13:41:46,5.77
,CC3-HP01,2021-10-13 06:15:02,5.39
,CC-TP01,2021-10-15 23:15:49,4.69
,CC6-TP01,2021-10-13 09:14:39,5.86
,CC2-TP01,2021-10-15 20:27:50,5.82
,CC-HP01,2021-10-12 21:54:29,4.78
,CC7-TP01,2021-10-13 18:52:41,5.65
,CC7-TP01,2021-10-18 15:48:38,4.42
,CC5-HP01,2021-10-15 14:26:36,5.32
,CC5-TP01,2021-10-19 02:54:47,4.14
,CC5-HP01,2021-10-16 02:52:09,5.14
,CC5-HP01,2021-10-12 13:10:21,5.05
,CC6-TP01,2021-10-18 22:05:26,5.98
,CC5-TP01,2021-10-14 00:07:19,4.12
,CC6-TP01,2021-10-19 06:58:56,4.78
,CC7-HP01,2021-10-13 23:34:55,5.19
,CC5-HP01,2021-10-12 02:07:31,5.25
,CC6-TP01,2021-10-19 10:06:15,5.35
,CC2-TP01,2021-10-16 19:28:57,5.76
,CC4-TP01,2021-10-18 02:57:37,5.54
,CC2-HP01,2021-10-16 02:44:44,5.76
,CC7-HP01,2021-10-12 17:39:42,4.12
,CC5-HP01,2021-10-12 00:31:06,4.15
,CC4-TP01,2021-10-14 03:13:04,4.45
,CC5-HP01,2021-10-18 19:51:38,4.22
,CC4-TP01,2021-10-13 19:21:26,5.79
,CC4-HP01,2021-10-16 18:03:24,5.56
,CC5-HP01,2021-10-16 02:00:12,4.82
,CC7-TP01,2021-10-19 22:44:08,5.21
,CC-TP01,2021-10-17 13:56:53,5.69
,CC4-TP01,2021-10-16 22:59:55,5.0
,CC-TP01,2021-10-16 02:50:51,4.3
,CC-TP01,2021-10-14 18:15:36,4.39
,CC4-HP01,2021-10-19 07:03:17,4.07
,CC6-HP01,2021-10-14 08:52:37,4.22
,CC6-TP01,2021-10-17 06:35:55,4.92
,CC4-HP01,2021-10-18 21:58:31,5.39
,CC7-TP01,2021-10-16 16:54:34,5.75
,CC7-TP01,2021-10-12 02:10:30,5.47
,CC5-TP01,2021-10-12 16:27:02,4.98
,CC3-TP01,2021-10-14 18:25:01,4.88
,CC2-HP01,2021-10-14 01:55:35,5.73
,CC2-TP01,2021-10-16 16:28:48,4.68
,CC7-HP01,2021-10-13 14:29:48,4.33
,CC6-HP01,2021-10-19 01:44:09,5.47
,CC-HP01,2021-10-18 10:43:26,4.7
,CC3-HP01,2021-10-17 06:38:53,4.83
,CC2-TP01,2021-10-13 19:53:14,5.89
,CC5-TP01,2021-10-16 11:31:03,4.02
,CC4-HP01,2021-10-14 23:45:40,4.4
,CC-HP01,2021-10-14 23:37:53,5.73
,CC-TP01,2021-10-19 03:32:28,5.91
,CC3-HP01,2021-10-12 00:48:49,5.12
,CC-TP01,2021-10-16 04:19:26,5.48
,CC5-HP01,2021-10-14 06:49:30,4.81
,CC2-TP01,2021-10-13 06:18:29,5.14
,CC6-HP01,2021-10-13 23:50:30,4.96
,CC-HP01,2021-10-12 02:10:25,5.77
,CC7-HP01,2021-10-18 09:03:26,5.46
,CC3-HP01,2021-10-15 06:12:42,5.76
,CC2-HP01,2021-10-19 18:35:49,4.63
,CC3-TP01,2021-10-14 18:55:22,4.66
,CC5-HP01,2021-10-14 07:33:12,5.24
,CC-HP01,2021-10-14 06:08:24,5.36
,CC-TP01,2021-10-12 12:19:17,4.77
,CC4-TP01,2021-10-19 05:30:15,5.37
,CC-HP01,2021-10-12 13:56:36,5.1
,CC5-TP01,2021-10-15 06:13:47,5.09
,CC7-TP01,2021-10-17 18:21:01,4.26
,CC6-TP01,2021-10-17 02:26:16,4.99
,CC5-TP01,2021-10-18 11:16:26,4.71
,CC-HP01,2021-10-16 20:31:26,5.28
,CC5-HP01,2021-10-15 07:25:19,5.88
,CC3-HP01,2021-10-17 20:56:59,5.08
,CC6-HP01,2021-10-15 13:48:18,5.92
,CC6-HP01,2021-10-18 03:36:16,5.04
,CC4-HP01,2021-10-18 15:54:55,4.94
,CC2-HP01,2021-10-18 12:06:56,5.97
,CC2-HP01,2021-10-12 23:36:11,5.19
,CC2-TP01,2021-10-12 12:59:35,5.43
,CC5-HP01,2021-10-13 03:43:49,5.55
,CC6-TP01,2021-10-15 14:53:53,4.1
,CC6-TP01,2021-10-12 13:21:12,5.11
,CC6-HP01,2021-10-13 15:59:30,4.68
,CC6-TP01,2021-10-12 04:54:34,4.42
,CC4-HP01,2021-10-14 09:55:19,4.22
,CC3-TP01,2021-10-15 17:32:42,4.55
,CC6-TP01,2021-10-15 06:25:38,4.65
,CC2-HP01,2021-10-16 16:50:37,4.79
,CC5-TP01,2021-10-18 04:17:09,4.71
,CC5-HP01,2021-10-14 22:46:52,5.04
,CC7-HP01,2021-10-15 00:24:29,4.91
,CC6-HP01,2021-10-16 18:11:08,5.96
,CC6-TP01,2021-10-19 21:47:21,5.57
,CC5-HP01,2021-10-15 00:09:41,5.74
,CC4-TP01,2021-10-18 11:33:57,4.56
,CC7-HP01,2021-10-17 06:17:17,5.46
,CC2-TP01,2021-10-16 11:55:42,4.15
,CC7-HP01,2021-10-17 03:32:43,4.21
,CC5-HP01,2021-10-19 19:55:04,5.54
,CC4-TP01,2021-10-12 23:00:45,5.39
,CC3-HP01,2021-10-14 12:18:12,4.75
,CC3-TP01,2021-10-19 01:56:49,4.88
,CC4-HP01,2021-10-18 23:23:53,5.13
,CC-HP01,2021-10-17 02:48:45,5.65
,CC6-TP01,2021-10-16 17:49:33,4.45
,CC5-HP01,2021-10-14 19:14:19,5.37
,CC-HP01,2021-10-16 10:04:42,4.88
,CC-TP01,2021-10-15 04:16:05,4.69
,CC5-TP01,2021-10-17 06:26:00,4.31
,CC2-TP01,2021-10-19 06:13:16,5.83
,CC-HP01,2021-10-16 11:38:04,4.02
,CC6-HP01,2021-10-16 15:26:29,5.28
,CC-HP01,2021-10-14 03:07:02,5.02
,CC7-HP01,2021-10-13 04:33:17,5.46
,CC3-HP01,2021-10-13 03:23:58,4.8
,CC7-TP01,2021-10-13 03:38:27,4.18
,CC-HP01,2021-10-16 21:18:46,5.29
,CC4-HP01,2021-10-12 07:52:17,5.33
,CC5-TP01,2021-10-16 18:54:23,4.6
,CC5-TP01,2021-10-19 17:46:50,4.29
,CC2-TP01,2021-10-19 09:44:46,5.6
,CC2-TP01,2021-10-17 23:01:27,5.76
,CC7-HP01,2021-10-14 23:06:49,4.8
,CC6-TP01,2021-10-17 22:44:25,5.19
,CC-TP01,2021-10-19 07:15:20,4.49
,CC-TP01,2021-10-12 17:44:34,5.88
,CC2-HP01,2021-10-18 07:54:08,5.21
,CC3-TP01,2021-10-18 01:46:30,5.25
,CC6-HP01,2021-10-12 06:51:40,4.45
,CC5-TP01,2021-10-12 13:14:08,4.27
,CC-HP01,2021-10-17 02:02:58,5.85
,CC7-HP01,2021-10-17 02:43:47,4.79
,CC4-HP01,2021-10-19 20:23:51,6.0
,CC6-TP01,2021-10-17 16:48:10,4.69
,CC7-TP01,2021-10-15 17:45:23,4.23
,CC6-HP01,2021-10-15 06:42:58,4.09
,CC2-HP01,2021-10-14 08:34:22,5.67
,CC6-HP01,2021-10-16 20:03:15,5.51
,CC7-HP01,2021-10-12 07:01:51,5.29
,CC4-TP01,2021-10-12 14:08:50,4.86
,CC2-HP01,2021-10-13 19:30:20,4.27
,CC5-HP01,2021-10-17 11:03:22,4.68
,CC4-TP01,2021-10-19 14:52:32,4.04
,CC3-TP01,2021-10-13 22:27:30,5.76
,CC3-HP01,2021-10-15 09:59:25,5.66
,CC4-TP01,2021-10-18 07:48:23,5.6
,CC5-TP01,2021-10-12 18:43:08,4.43
,CC-HP01,2021-10-12 20:51:18,4.31
,CC6-HP01,2021-10-13 02:16:53,5.72
,CC4-HP01,2021-10-18 00:49:39,4.6
,CC7-TP01,2021-10-16 14:26:08,4.63
,CC-TP01,2021-10-17 08:04:57,5.09
,CC5-TP01,2021-10-18 12:39:26,4.25
,CC4-HP01,2021-10-16 15:02:44,5.77
,CC4-TP01,2021-10-12 16:54:12,5.84
,CC5-TP01,2021-10-18 05:10:01,4.75
,CC6-HP01,2021-10-12 04:24:44,5.29
,CC2-TP01,2021-10-18 20:36:24,4.9
,CC4-HP01,2021-10-17 00:03:32,4.28
,CC3-TP01,2021-10-17 01:41:33,4.7
,CC5-TP01,2021-10-14 01:31:47,5.26
,CC7-HP01,2021-10-19 03:26:51,5.3
,CC4-HP01,2021-10-12 09:48:45,5.9
,CC4-TP01,2021-10-14 06:18:23,4.56
,CC4-HP01,2021-10-19 00:59:04,4.61
,CC6-TP01,2021-10-18 23:50:14,5.78
,CC7-HP01,2021-10-19 06:01:03,4.76
,CC4-TP01,2021-10-14 12:48:18,4.3
,CC-TP01,2021-10-19 00:14:00,4.62
,CC6-TP01,2021-10-16 20:05:09,4.93
,CC-TP01,2021-10-12 16:59:21,4.12
,CC7-HP01,2021-10-17 07:32:41,5.2
,CC4-TP01,2021-10-17 12:34:10,5.41
,CC3-HP01,2021-10-17 16:21:21,5.75
,CC7-HP01,2021-10-17 10:56:20,4.23
,CC-TP01,2021-10-19 06:33:07,5.24
,CC6-TP01,2021-10-19 06:18:25,5.23
,CC4-TP01,2021-10-16 17:42:31,5.72
,CC-HP01,2021-10-19 15:59:24,5.42
,CC5-TP01,2021-10-18 08:26:35,5.68
,CC5-HP01,2021-10-18 09:37:44,4.19
,CC6-HP01,2021-10-17 07:45:22,4.52
,CC2-TP01,2021-10-13 10:52:02,4.18
,CC4-TP01,2021-10-12 01:23:00,5.63
,CC4-TP01,2021-10-13 05:01:35,4.61
,CC7-TP01,2021-10-12 15:07:03,4.54
,CC2-TP01,2021-10-19 20:53:18,4.82
,CC-HP01,2021-10-15 16:46:54,4.84
,CC5-TP01,2021-10-18 21:48:24,4.17
,CC7-HP01,2021-10-16 23:11:27,5.34
,CC4-HP01,2021-10-19 22:54:58,4.15
,CC6-HP01,2021-10-14 11:04:03,4.78
,CC4-HP01,2021-10-16 11:34:57,4.58
,CC7-TP01,2021-10-18 11:29:29,5.91
,CC-HP01,2021-10-19 02:05:19,5.47
,CC3-HP01,2021-10-16 19:55:57,5.17
,CC4-HP01,2021-10-17 04:30:28,4.69
,CC6-TP01,2021-10-13 17:16:46,5.67
,CC4-TP01,2021-10-17 06:09:57,4.84
,CC4-TP01,2021-10-14 20:10:10,4.6
,CC6-TP01,2021-10-15 19:49:04,4.25
,CC4-HP01,2021-10-19 05:30:06,5.27
,CC3-TP01,2021-10-17 21:20:49,5.48
,CC7-HP01,2021-10-15 16:16:35,5.61
,CC3-TP01,2021-10-13 02:51:00,4.7
,CC3-TP01,2021-10-16 19:32:49,4.91
,CC2-TP01,2021-10-17 07:47:04,4.9
,CC2-TP01,2021-10-16 10:50:38,5.75
,CC6-HP01,2021-10-12 13:09:10,5.07
,CC5-TP01,2021-10-16 09:09:14,5.29
,CC2-TP01,2021-10-18 15:04:08,5.68
,CC5-HP01,2021-10-18 21:15:31,5.96
,CC3-TP01,2021-10-16 21:47:23,5.76
,CC6-TP01,2021-10-15 15:09:53,5.11
,CC4-TP01,2021-10-18 00:09:15,5.09
,CC3-HP01,2021-10-13 12:38:01,5.89
,CC-TP01,2021-10-14 03:26:00,5.77
,CC5-TP01,2021-10-19 10:07:02,4.5
,CC4-HP01,2021-10-19 21:26:53,4.05
,CC3-HP01,2021-10-12 16:12:35,4.94
,CC2-HP01,2021-10-15 07:28:49,4.5
,CC3-TP01,2021-10-16 23:41:25,4.85
,CC2-HP01,2021-10-17 06:21:12,5.41
,CC2-TP01,2021-10-12 20:46:00,4.6
,CC-HP01,2021-10-19 12:18:16,4.13
,CC2-TP01,2021-10-13 01:37:36,5.92
,CC4-HP01,2021-10-19 05:12:12,4.06
,CC-TP01,2021-10-18 22:57:50,4.41
,CC5-HP01,2021-10-16 14:46:08,4.67
,CC5-HP01,2021-10-13 06:35:41,4.36
,CC5-HP01,2021-10-16 11:53:31,4.59
,CC4-TP01,2021-10-14 15:28:40,4.21
,CC5-TP01,2021-10-16 06:51:07,4.61
,CC6-HP01,2021-10-19 18:59:55,5.01
,CC2-HP01,2021-10-17 17:19:03,5.68
,CC2-TP01,2021-10-12 19:02:02,4.74
,CC2-HP01,2021-10-18 06:18:38,4.21
,CC6-HP01,2021-10-14 07:32:10,4.16
,CC3-TP01,2021-10-15 08:50:16,4.81
,CC4-HP01,2021-10-19 05:17:24,4.4
,CC4-TP01,2021-10-16 01:38:44,4.0
,CC7-HP01,2021-10-17 02:24:13,4.85
,CC5-TP01,2021-10-15 22:53:27,4.2
,CC4-TP01,2021-10-17 03:00:28,4.28
,CC5-HP01,2021-10-19 19:14:55,4.58
,CC2-TP01,2021-10-17 16:54:11,5.27
,CC-HP01,2021-10-16 04:51:09,4.91
,CC7-TP01,2021-10-17 21:25:18,4.08
,CC6-HP01,2021-10-17 13:15:15,4.63
,CC5-TP01,2021-10-16 20:34:11,5.38
,CC7-TP01,2021-10-12 07:09:18,5.39
,CC-TP01,2021-10-12 04:49:57,4.28
,CC6-HP01,2021-10-18 08:14:13,5.67
,CC3-TP01,2021-10-13 19:04:20,5.86
,CC2-HP01,2021-10-18 15:03:35,5.8
,CC-TP01,2021-10-13 23:22:15,5.8
,CC3-HP01,2021-10-17 01:37:00,5.66
,CC7-TP01,2021-10-17 05:28:46,5.73
,CC3-HP01,2021-10-18 15:13:29,5.19
,CC-HP01,2021-10-14 21:14:48,5.25
,CC7-HP01,2021-10-13 03:09:59,5.8
,CC-HP01,2021-10-13 04:29:23,4.35
,CC4-HP01,2021-10-13 14:03:52,5.55
,CC5-TP01,2021-10-12 10:31:41,4.91
,CC6-TP01,2021-10-19 15:16:37,4.09
,CC3-HP01,2021-10-13 07:46:24,5.61
,CC4-TP01,2021-10-12 17:28:31,4.26
,CC-TP01,2021-10-15 06:43:03,5.92
,CC6-HP01,2021-10-12 05:56:44,4.34
,CC-HP01,2021-10-17 17:20:54,5.59
,CC6-HP01,2021-10-14 23:46:14,5.79
,CC6-TP01,2021-10-17 15:39:34,4.54
,CC-TP01,2021-10-15 21:33:01,5.24
,CC-HP01,2021-10-18 03:00:05,5.21
,CC6-HP01,2021-10-18 19:37:56,4.4
,CC-TP01,2021-10-12 12:45:57,4.87
,CC4-TP01,2021-10-13 17:48:07,5.01
,CC5-HP01,2021-10-12 02:28:06,5.64
,CC4-HP01,2021-10-18 09:34:31,4.37
,CC3-TP01,2021-10-13 04:45:49,4.14
,CC-TP01,2021-10-12 16:51:39,4.99
,CC6-HP01,2021-10-14 06:11:19,4.68
,CC7-TP01,2021-10-13 22:03:09,5.66
,CC4-TP01,2021-10-14 17:43:14,5.69
,CC5-TP01,2021-10-17 04:05:04,4.88
,CC4-TP01,2021-10-12 18:02:16,4.2
,CC-HP01,2021-10-16 02:04:13,4.23
,CC4-TP01,2021-10-15 11:23:07,5.47
,CC4-TP01,2021-10-12 19:24:02,5.15
,CC6-HP01,2021-10-17 01:52:38,5.53
,CC3-TP01,2021-10-18 15:27:44,5.45
,CC4-HP01,2021-10-17 04:46:12,5.05
,CC2-TP01,2021-10-13 19:41:27,5.65
,CC2-HP01,2021-10-15 09:51:25,4.04
